Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Baroda BNP Paribas Large & Mid Cap Fund - Direct Plan,-1.37,50/63,-1.27,34/60,5.08,44/58,5.54,37/55,1.68,24/44
Baroda BNP Paribas Manufacturing Fund - Direct Plan,-1.46,85/124,1.36,20/121,9.76,40/118,10.38,31/108,-1.59,44/77
Baroda BNP Paribas Midcap Fund - Direct Plan,-0.36,1/52,-0.02,9/52,7.79,45/51,7.22,36/48,1.17,29/43
Baroda BNP Paribas Multi Cap Fund - Direct Plan,-1.02,11/36,0.02,9/36,6.28,32/35,4.70,32/34,2.79,17/26
Baroda BNP Paribas Nifty200 Momentum 30 Index Fund - Direct Plan,-0.28,15/63,-3.87,60/60,6.06,38/58,2.00,49/55,--,--
Baroda BNP Paribas NIFTY 50 Index Fund - Direct Plan,-0.49,46/111,-1.34,88/110,3.87,76/105,8.27,32/99,2.71,41/94
Baroda BNP Paribas Nifty Bank ETF,0.50,16/65,0.21,27/64,3.94,40/64,17.39,26/59,11.72,29/54
Baroda BNP Paribas Nifty Midcap 150 Index Fund - Direct Plan,-1.62,35/52,-0.60,30/52,9.24,30/51,9.28,19/48,--,--
Baroda BNP Paribas Small Cap Fund - Direct Plan,-2.34,23/46,0.31,21/46,9.64,43/46,7.44,32/43,-3.46,39/42
Baroda BNP Paribas Value Fund - Direct Plan,-1.69,23/30,-1.39,27/30,2.76,28/30,3.76,25/29,-7.32,23/26
BHARAT 22 ETF,-1.50,142/172,-1.71,157/170,1.97,155/160,4.70,143/152,-7.68,143/146
Canara Robeco Consumer Trends Fund - Direct Plan,0.09,5/24,-0.19,15/24,5.83,6/24,9.65,2/22,3.72,5/16
Canara Robeco ELSS Tax Saver Fund - Direct Plan,-0.61,18/40,-1.12,31/40,6.34,15/40,8.52,15/39,3.01,18/39
Canara Robeco Flexi Cap Fund - Direct Plan,-0.24,22/103,-0.64,54/102,7.23,30/99,10.91,17/96,5.46,27/88
Canara Robeco Focused Fund - Direct Plan,0.47,3/103,-0.47,43/102,7.71,24/99,11.32,10/96,9.94,5/88
Canara Robeco Infrastructure Fund - Direct Plan,-1.20,3/22,-0.12,7/22,9.61,6/21,11.79,1/21,0.64,3/20
Canara Robeco Large and Mid Cap Fund - Direct Plan,-0.53,26/63,-0.50,17/60,7.02,23/58,10.63,6/55,5.88,6/44
Canara Robeco Large Cap Fund - Direct Plan,-0.19,6/111,-0.93,35/110,4.37,39/105,9.17,10/99,5.38,4/94
Canara Robeco Manufacturing Fund - Direct Plan,-0.87,52/124,0.40,40/121,12.10,16/118,9.95,39/108,0.88,34/77
Canara Robeco Mid Cap Fund - Direct Plan,-0.61,2/52,-0.28,14/52,13.43,5/51,13.79,2/48,5.07,11/43
Canara Robeco Multi Cap Fund - Direct Plan,-0.86,8/36,-0.33,21/36,8.96,10/35,11.06,7/34,5.65,6/26
Canara Robeco Small Cap Fund - Direct Plan,-2.07,14/46,0.28,24/46,11.72,22/46,8.95,12/43,0.49,19/42
Canara Robeco Value Fund - Direct Plan,-1.12,9/30,-0.21,11/30,6.46,13/30,8.90,9/29,2.15,11/26
Capitalmind Flexi Cap Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
CPSE ETF,-1.66,2/11,-1.56,8/11,3.47,6/10,9.45,3/8,-9.20,4/7
DSP Banking & Financial Services Fund - Direct Plan,-0.83,30/38,-1.32,30/37,5.11,14/37,18.19,13/33,21.70,1/30
DSP BSE Sensex ETF,-0.35,20/172,-1.26,77/170,3.55,127/160,7.73,95/152,2.84,37/146
DSP BSE Sensex Next 30 ETF,-1.16,128/172,-1.11,59/170,5.51,5/160,--,--,--,--
DSP BSE Sensex Next 30 Index Fund - Direct Plan,-1.16,84/111,-1.13,43/110,5.41,11/105,--,--,--,--
DSP Business Cycle Fund - Direct Plan,-1.41,80/124,-0.77,83/121,5.52,89/118,7.75,60/108,--,--
DSP ELSS Tax Saver Fund - Direct Plan,-0.81,23/40,-0.66,19/40,3.98,36/40,9.17,12/39,3.26,16/39
DSP Flexi Cap Fund - Direct Plan,-1.38,89/103,-1.26,78/102,4.23,90/99,8.08,56/96,2.94,43/88
DSP Focused Fund - Direct Plan,-0.70,44/103,0.07,22/102,4.80,80/99,10.13,23/96,6.18,23/88
DSP Global Clean Energy Fund of Fund - Direct Plan,2.11,10/51,8.93,3/51,25.53,4/51,12.75,19/51,15.11,44/51
DSP Global Innovation FoF - Direct Plan,1.55,--,5.19,--,21.09,--,9.02,--,24.00,--
DSP Healthcare Fund - Direct Plan,0.86,8/23,6.23,5/22,9.19,8/21,3.30,21/21,13.39,10/17
DSP India T.I.G.E.R. Fund - Direct Plan,-2.23,17/22,-0.38,10/22,8.58,10/21,8.01,14/21,-5.08,13/20
DSP Large Cap Fund - Direct Plan,-0.30,9/111,-0.51,12/110,2.79,101/105,9.68,5/99,5.46,3/94
DSP Large & Mid Cap Fund - Direct Plan,-1.15,45/63,-0.98,32/60,3.90,48/58,8.43,24/55,1.81,21/44
DSP Midcap Fund - Direct Plan,-1.33,18/52,0.12,8/52,10.18,13/51,9.08,28/48,1.55,28/43
DSP Multicap Fund - Direct Plan,-2.11,34/36,-0.15,16/36,9.56,6/35,8.56,20/34,1.87,19/26
DSP Natural Resources and New Energy Fund - Direct Plan,-0.70,1/6,1.89,2/6,7.80,1/5,7.89,4/4,-2.07,3/4
DSP NIFTY 50 Equal Weight ETF,-0.96,106/172,-1.53,144/170,4.03,55/160,8.28,33/152,1.16,79/146
