Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Motilal Oswal Asset Allocation Passive FoF - Conservative - Direct Plan,-0.06,9/43,0.98,9/43,4.76,21/41,8.10,29/40,11.97,7/37
Motilal Oswal Balanced Advantage Fund - Direct Plan,0.34,1/38,2.02,1/38,8.02,1/38,2.04,37/37,-7.91,36/36
Navi Aggressive Hybrid Fund - Direct Plan,-0.87,35/44,1.43,2/44,7.17,7/44,8.32,13/44,6.30,12/44
Nippon India Aggressive Hybrid Fund - Direct Plan,-0.28,9/44,0.05,13/44,4.83,25/44,8.19,15/44,5.47,18/44
Nippon India Aggressive Hybrid Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Aggressive Hybrid Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Arbitrage Fund - Direct Plan,0.19,4/32,0.63,17/32,1.52,19/32,3.59,17/31,7.41,16/27
Nippon India Balanced Advantage Fund - Direct Plan,-0.29,16/38,0.13,13/38,3.27,30/38,6.53,23/37,5.19,22/36
Nippon India Conservative Hybrid Fund - Direct Plan,-0.07,11/28,0.61,8/28,2.79,8/28,5.98,6/28,9.04,2/28
Nippon India Conservative Hybrid Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Conservative Hybrid Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Equity Savings Fund - Direct Plan,-0.01,8/23,0.24,15/23,2.31,17/23,4.69,14/22,5.24,20/22
Nippon India Equity Savings Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Equity Savings Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Multi Asset Active FoF - Direct Plan,-0.88,38/43,-0.12,32/43,5.31,16/41,10.98,6/40,12.09,6/37
Nippon India Multi Asset Allocation Fund - Direct Plan,-0.22,16/43,1.08,5/43,6.64,6/41,11.30,2/40,12.47,4/37
Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,0.24,2/28,0.75,2/28,1.41,24/28,5.05,20/28,7.05,17/28
NJ Arbitrage Fund - Direct Plan,0.16,27/32,0.57,30/32,1.35,29/32,3.13,29/31,6.68,26/27
NJ Balanced Advantage Fund - Direct Plan,-1.86,38/38,--,17/38,3.80,19/38,3.27,35/37,-2.27,32/36
Parag Parikh Arbitrage Fund - Direct Plan,0.17,18/32,0.61,23/32,1.46,22/32,3.40,26/31,7.13,22/27
Parag Parikh Conservative Hybrid Fund - Direct Plan,0.12,4/28,0.61,6/28,2.09,17/28,5.43,15/28,8.77,4/28
Parag Parikh Dynamic Asset Allocation Fund - Direct Plan,-0.08,11/38,0.67,5/38,1.50,38/38,4.60,33/37,7.10,9/36
PGIM India Aggressive Hybrid Equity Fund - Direct Plan,0.23,1/44,0.82,3/44,4.98,21/44,7.40,28/44,8.76,4/44
PGIM India Arbitrage Fund - Direct Plan,0.14,30/32,0.57,29/32,1.44,25/32,3.55,20/31,7.38,18/27
PGIM India Balanced Advantage Fund - Direct Plan,-0.12,12/38,-0.48,30/38,4.81,7/38,8.94,2/37,6.15,16/36
PGIM India Equity Savings Fund - Direct Plan,0.16,4/23,0.29,12/23,1.88,20/23,4.42,19/22,6.64,12/22
Quant Aggressive Hybrid Fund - Direct Plan,-1.53,42/44,-1.56,43/44,4.78,26/44,7.71,22/44,-4.23,44/44
Quant Arbitrage Fund - Direct Plan,0.18,9/32,0.70,3/32,1.62,2/32,--,--,--,--
Quant Dynamic Asset Allocation Fund - Direct Plan,-1.05,36/38,-0.39,28/38,6.32,3/38,7.89,6/37,-2.78,33/36
Quant Equity Savings Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Quant Multi Asset Allocation Fund - Direct Plan,-0.33,21/43,1.08,6/43,7.55,3/41,10.29,9/40,8.06,22/37
Quantum Multi Asset Allocation Fund - Direct Plan,-0.43,25/43,-0.34,38/43,1.92,40/41,6.86,35/40,8.95,18/37
Quantum Multi Asset Fund of Funds - Direct Plan,-0.29,20/43,-0.10,31/43,2.32,38/41,7.63,33/40,10.19,16/37
Samco Arbitrage Fund - Direct Plan,0.10,32/32,0.48,32/32,1.17,32/32,2.67,31/31,--,--
Samco Dynamic Asset Allocation Fund - Direct Plan,-0.55,27/38,1.59,2/38,5.84,4/38,2.06,36/37,-3.72,35/36
Samco Multi Asset Allocation Fund - Direct Plan,-1.42,43/43,-0.50,40/43,4.87,19/41,17.00,1/40,--,--
SBI Arbitrage Opportunities Fund - Direct Plan,0.17,22/32,0.63,10/32,1.61,3/32,3.69,7/31,7.52,11/27
SBI Balanced Advantage Fund - Direct Plan,-0.80,33/38,-0.70,33/38,3.15,31/38,6.21,26/37,5.87,17/36
SBI Conservative Hybrid Fund - Direct Plan,-0.58,26/28,0.51,9/28,2.70,11/28,5.87,8/28,6.58,20/28
SBI Equity Hybrid Fund - Direct Plan,-0.35,18/44,-0.18,21/44,5.38,16/44,11.58,3/44,10.68,1/44
SBI Equity Savings Fund - Direct Plan,-0.75,23/23,-0.05,22/23,3.61,6/23,6.01,6/22,6.72,11/22
SBI Magnum Children's Benefit Fund - Investment Plan - Direct Plan,-1.88,44/44,3.14,1/44,7.61,6/44,6.85,33/44,6.17,13/44
SBI Magnum Children's Benefit Fund - Savings Plan - Direct Plan,-0.42,24/28,0.97,1/28,2.23,15/28,4.95,21/28,8.56,7/28
SBI Multi Asset Allocation Fund - Direct Plan,-0.88,39/43,0.75,13/43,5.95,8/41,9.77,14/40,9.64,17/37
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Direct Plan,-0.87,36/44,-0.41,30/44,5.99,12/44,6.97,32/44,1.26,40/44
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Direct Plan,-0.50,25/28,-0.17,26/28,2.79,7/28,5.21,17/28,4.51,28/28
